name,album,artist,release_date,length,popularity
"Desi Girl (From ""Dostana"")",Best of Me Vishal Shekhar,Vishal-Shekhar,2013-04-22,306986,46
"Tu Meri (From ""Bang Bang"")","Tu Meri (From ""Bang Bang"")",Vishal-Shekhar,2014-08-24,257089,0
Saturday Saturday,Saturday Saturday,Shaarib Toshi,2014-06-19,210799,55
"Kar Gayi Chull (From ""Kapoor & Sons (Since 1921)"")",Best of 2016,Various Artists,2016-12-16,187710,38
"Tukur Tukur (From ""Dilwale"")",Best of 2016,Various Artists,2016-12-16,247458,36
Let's Nacho,Kapoor & Sons (Since 1921) (Original Motion Picture Soundtrack),Amaal Mallik,2016-03-04,215075,54
Bom Diggy,Bom Diggy - Single,Zack Knight,2017-08-24,207692,49
One Two Three Four (Get On The Dance Floor),Chennai Express,Vishal-Shekhar,2013-07-03,228323,65
"Aankh Marey (From ""Simmba"")","Aankh Marey (From ""Simmba"")",Neha Kakkar,2018-12-06,212741,59
Balam Pichkari,Yeh Jawaani Hai Deewani,Pritam,2013-03-30,288902,66
Badtameez Dil,Yeh Jawaani Hai Deewani,Pritam,2013-03-30,252760,68
"Coca Cola (From ""Luka Chuppi"")","Coca Cola (From ""Luka Chuppi"")",Tony Kakkar,2019-02-04,179225,63
Hookah Bar,Khiladi 786,Himesh Reshammiya,2012-10-30,254351,69
Gallan Goodiyaan,Dil Dhadakne Do,Shankar-Ehsaan-Loy,2015-05-02,296500,65
Chammak Challo,Ra-One,Vishal-Shekhar,2011-09-16,227091,74
Marjaani,Billu,Pritam,2009-01-05,323941,56
"Party All Night (From ""Boss"")",Yo Yo Honey Singh Is Back,Yo Yo Honey Singh,2018-03-12,282792,65
Dhoom Machale Dhoom,Dhoom:3,Pritam,2013-11-14,235624,49
Kamli,Dhoom:3,Pritam,2013-11-14,235102,61
Dhoom Again,Dhoom:2,Pritam,2006-10-19,302706,51
Tamma Tamma Again,Badrinath Ki Dulhania,Tanishk Bagchi,2017-02-14,199264,59
"Ghungroo (From ""War"")","Ghungroo (From ""War"")",Vishal-Shekhar,2019-09-30,302935,66
,,Various Artists,0000,0,0
"Jai Jai Shivshankar (From ""War"")","Jai Jai Shivshankar (From ""War"")",Vishal Dadlani,2019-09-21,230557,55
Har Ghoont Mein Swag,Har Ghoont Mein Swag,Badshah,2019-04-07,143572,45
Tu Hi Junoon,Dhoom:3,Pritam,2013-11-14,303360,47
Subha Hone Na De,Desi Boyz,Pritam,2011-10-21,288696,69
Gori Tera Gaon Bada Pyara,Chitchor (Original Motion Picture Soundtrack),Ravindra Jain,1976-01-23,307560,30
"O Saki Saki (From ""Batla House"")",Mesmeric Voice - Tulsi Kumar,Tulsi Kumar,2019-08-16,191089,50
Sheila Ki Jawani,Tees Maar Khan,Shirish Kunder,2010-11-15,281707,68
Mauja Hi Mauja,Jab We Met,Pritam,2007-09-21,245099,65
Song: Dola Re,"Devdas - An Adaptation Of Sarat Chandra Chattopadhyay's ""Devdas""",Various Artists,2002-01-01,303386,43
Sooraj Dooba Hain,Roy,Amaal Mallik,2015-01-09,264854,67
Shubhaarambh,Celebrate Kai Po Che (Original Motion Picture Soundtrack),Amit Trivedi,2013-07-10,232533,60
"Odhani (From ""Made in China"")","Odhani (From ""Made in China"")",Sachin-Jigar,2019-09-24,195397,55
Jhoome Jo Pathaan,Pathaan,Vishal-Shekhar,2022-12-22,208164,64
,,Various Artists,0000,0,0
Party Freak,Party Freak,Chandan Shetty,2020-12-26,240017,52
Jiya Re,Jab Tak Hai Jaan,A.R. Rahman,2012-10-09,319216,59
Chikni Chameli,Agneepath (Original Motion Picture Soundtrack),Ajay-Atul,2011-12-16,301586,68
Soni De Nakhre,Partner,Sajid-Wajid,2007-06-12,261013,69
Make Some Noise For The Desi Boyz,Desi Boyz,Pritam,2011-10-21,244067,68
"What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"")","What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"")",Various Artists,2023-07-12,213611,49
Slowly Slowly,Slowly Slowly,Sachin-Jigar,2013-04-22,200066,47
"Main Tera Boyfriend (From ""Raabta"")",Groove With Arijit Singh,Arijit Singh,2019-05-22,276153,58
Ude Dil Befikre,Befikre,Vishal-Shekhar,2016-12-01,231326,59
Heeriye (feat. Arijit Singh),Heeriye (feat. Arijit Singh),Jasleen Royal,2023-07-25,194857,75
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Tere Vaaste (From ""Zara Hatke Zara Bachke"") - Single",Various Artists,2023-05-22,189136,56
Liggi,Dev,Ritviz,2021-07-09,181176,60
Tum Hi Ho Bandhu,Cocktail,Pritam,2012-06-15,283693,0
Rangi Saari,Rangi Saari,Kavita Seth,2020-04-24,214000,59
Chaleya,Jawan,Anirudh Ravichander,2023-09-05,200373,68
Lat Lag Gayee,Race 2 (Original Motion Picture Soundtrack),Pritam,2012-01-25,280369,68
Kabhi Kabhi Aditi,Jaane Tu... Ya Jaane Na,A.R. Rahman,2008-05-21,218836,69
First Class (Kalank),Kalank (Original Motion Picture Soundtrack),Pritam,2019-04-14,276959,51
Twist,Love Aaj Kal (Original Motion Picture Soundtrack),Pritam,2009-07-31,299440,60
Zaalima,Raees (Original Motion Picture Soundtrack),Various Artists,2017-01-24,299333,71
Guzarish,Ghajini,A.R. Rahman,2008-11-25,327029,70
Lover,MoonChild Era,Diljit Dosanjh,2021-08-22,190000,68
"Crazy Kiya Re (From ""Dhoom:2"")",30 Hits of Pritam,Pritam,2023-06-13,294504,49
"Uyi Amma - From ""Azaad""","Uyi Amma (From ""Azaad"")",Amit Trivedi,2025-01-04,253833,73
Chittiyaan Kalaiyaan,Roy,Amaal Mallik,2015-01-09,246100,65
Pungi,Agent Vinod,Pritam,2012-02-24,247826,62
Khwab Dekhe Sexy Lady,Race (Original Motion Picture Soundtrack),Pritam,2008-03-21,279356,66
"Choli Ke Peeche (From ""Crew"")","Choli Ke Peeche (From ""Crew"")",Diljit Dosanjh,2024-03-20,173400,63
